drug_id,drug_name,brand_name,approval_year,drugbank_id,pubchem_cid,chembl_id,canonical_smiles,isomeric_smiles,inchikey,molecular_formula,molecular_weight,sdf_path,source,route,therapeutic_area,indication,target_name,target_chembl_id,action_type,mechanism_of_action,notes,structure_source,chembl_pref_name,chembl_first_approval,chembl_max_phase,pubchem_match_method,pubchem_lookup_status,chembl_lookup_status,canonical_smiles_original,canonical_smiles_rdkit,active_moiety_smiles,murcko_scaffold,model_ligand_smiles,model_ligand_standardization,chembl_pref_name_local,chembl_max_phase_local,therapeutic_flag,dosed_ingredient,molecule_type,structure_type,chembl_first_approval_local,chembl_prodrug,inorganic_flag,polymer_flag,withdrawn_flag,parent_chembl_id,active_chembl_id,parent_chembl_smiles,active_chembl_smiles,drug_name_normalized,drug_core_name,name_candidate_count,best_chembl_name_match,best_chembl_name_similarity,exact_name_match,core_name_match,combination_product_name,chembl37_id_present,identity_status,chembl_id_record_count,chembl_id_core_name_count,chembl_id_conflicting_names,model_structure_record_count,duplicate_model_structure,model_ligand_smiles_standardized_audit,active_chembl_smiles_standardized,active_chembl_id_differs,model_differs_from_active_chembl_structure,legacy_active_moiety_is_only_structure_standardization,likely_diagnostic_gas_or_nontherapeutic,in_legacy_project750,rebuild_status
CHEMBL1230914,"Medical Air, Usp","Medical Air, Usp",2026,,161500.0,CHEMBL1230914,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,PDACUKOKVHBVHJ-XVFCMESISA-N,C8H14N3O7P,295.19,data/processed/ligands_sdf_chembl/CHEMBL1230914.sdf,seed;ChEMBL API;PubChem PUG REST,Inhalation,Other,,,,,,,ChEMBL API molfile,,,,smiles,ok,ok,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,c1cn(C2CCCO2)cn1,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,largest_RDKit_fragment_then_Uncharger,,,0.0,0.0,Small molecule,MOL,,-1.0,-1.0,0.0,0.0,CHEMBL1230914,CHEMBL1230914,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,medical air usp,medical air usp,0,,0.0,False,False,True,True,COMBINATION_PRODUCT_SINGLE_STRUCTURE,3,3,True,3,True,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,False,False,True,True,False,EXCLUDE_NONTHERAPEUTIC_SCOPE
CHEMBL1230914__AIR,Air,Air,2026,,161500.0,CHEMBL1230914,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,PDACUKOKVHBVHJ-XVFCMESISA-N,C8H14N3O7P,295.19,data/processed/ligands_sdf_chembl/CHEMBL1230914_AIR.sdf,seed;ChEMBL API;PubChem PUG REST,Inhalation,Diagnostic/Imaging,,,,,Ultrasound contrast agent,,ChEMBL API molfile,,,,smiles,ok,ok,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,c1cn(C2CCCO2)cn1,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,largest_RDKit_fragment_then_Uncharger,,,0.0,0.0,Small molecule,MOL,,-1.0,-1.0,0.0,0.0,CHEMBL1230914,CHEMBL1230914,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,air,air,0,,0.0,False,False,False,True,NO_CHEMBL_NAME_EVIDENCE,3,3,True,3,True,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,False,False,True,True,False,EXCLUDE_NONTHERAPEUTIC_SCOPE
CHEMBL1702,Atomoxetine Hydrochloride,Atoncy,2026,,54840.0,CHEMBL1702,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,LUCXVPAZUDVVBT-UNTBIKODSA-N,C17H22ClNO,291.8,data/processed/ligands_sdf_chembl/CHEMBL1702.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Endocrinology/Metabolic,"Attention Deficit Disorder with Hyperactivity; Attention Deficit and Disruptive Behavior Disorders; Syncope, Vasovagal",Sodium-dependent noradrenaline transporter,CHEMBL222,INHIBITOR,Norepinephrine transporter inhibitor,,ChEMBL API molfile,ATOMOXETINE HYDROCHLORIDE,2002.0,4.0,smiles,ok,ok,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,c1ccc(COc2ccccc2)cc1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,largest_RDKit_fragment_then_Uncharger,ATOMOXETINE HYDROCHLORIDE,4.0,1.0,1.0,Small molecule,MOL,2002.0,0.0,0.0,0.0,0.0,CHEMBL641,CHEMBL641,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,atomoxetine hydrochloride,atomoxetine,9,atomoxetine hydrochloride,1.0,True,True,False,True,EXACT_NAME_SUPPORTED,1,1,False,1,False,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,True,False,True,False,True,HOLD_ACTIVE_SPECIES_REVIEW
CHEMBL2095208,Darunavir And Cobicistat,Prezcobix,2026,,25151504.0,CHEMBL2095208,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,ZCIGNRJZKPOIKD-CQXVEOKZSA-N,C40H53N7O5S2,776.0,data/processed/ligands_sdf_chembl/CHEMBL2095208.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Infectious Disease,HIV Infections; Infections,Cytochrome P450 3A,CHEMBL2364675,INHIBITOR,Cytochrome P450 3A inhibitor,,ChEMBL API molfile,COBICISTAT,2012.0,4.0,smiles,ok,ok,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,O=C(NCc1cscn1)NC(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,largest_RDKit_fragment_then_Uncharger,COBICISTAT,4.0,1.0,1.0,Small molecule,MOL,2012.0,0.0,0.0,0.0,0.0,CHEMBL2095208,CHEMBL2095208,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,darunavir and cobicistat,darunavir and cobicistat,11,cobicistat,0.5882,False,False,True,True,COMBINATION_PRODUCT_SINGLE_STRUCTURE,2,2,True,2,True,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,False,False,True,False,True,HOLD_IDENTITY_REVIEW
CHEMBL2364608,Doravirine And Islatravir,Idvynso,2026,,58460047.0,CHEMBL2364608,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,ZIAOVIPSKUPPQW-UHFFFAOYSA-N,C17H11ClF3N5O3,425.7,data/processed/ligands_sdf_chembl/CHEMBL2364608.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Infectious Disease,HIV Infections; Virus Diseases,Human immunodeficiency virus type 1 reverse transcriptase,CHEMBL247,NEGATIVE ALLOSTERIC MODULATOR,Human immunodeficiency virus type 1 reverse transcriptase negative allosteric modulator,,ChEMBL API molfile,DORAVIRINE,2018.0,4.0,smiles,ok,ok,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,O=c1[nH]nc(Cn2cccc(Oc3ccccc3)c2=O)[nH]1,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,largest_RDKit_fragment_then_Uncharger,DORAVIRINE,4.0,1.0,1.0,Small molecule,MOL,2018.0,0.0,0.0,0.0,0.0,CHEMBL2364608,CHEMBL2364608,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,doravirine and islatravir,doravirine and islatravir,6,doravirine component of delstrigo,0.5862,False,False,True,True,COMBINATION_PRODUCT_SINGLE_STRUCTURE,2,2,True,2,True,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,False,False,True,False,True,HOLD_IDENTITY_REVIEW
CHEMBL1200645,Etoposide,Avopef,2026,,6918092.0,CHEMBL1200645,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,LIQODXNTTZAGID-OCBXBXKTSA-N,C29H33O16P,668.5,data/processed/ligands_sdf_chembl/CHEMBL1200645.sdf,seed;ChEMBL API;PubChem PUG REST,Intravenous,Oncology,Lymphoma; Hodgkin Disease; Precursor Cell Lymphoblastic Leukemia-Lymphoma,DNA topoisomerase 2-alpha,CHEMBL1806,INHIBITOR,DNA topoisomerase II alpha inhibitor,,ChEMBL API molfile,ETOPOSIDE PHOSPHATE,1996.0,4.0,smiles,ok,ok,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,O=C1OCC2C(OC3CCC4OCOCC4O3)c3cc4c(cc3C(c3ccccc3)C12)OCO4,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,largest_RDKit_fragment_then_Uncharger,ETOPOSIDE PHOSPHATE,4.0,1.0,1.0,Small molecule,MOL,1996.0,1.0,0.0,0.0,0.0,CHEMBL1200645,CHEMBL44657,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,etoposide,etoposide,7,vepeside,0.7059,False,True,False,True,CORE_NAME_SUPPORTED,1,1,False,1,False,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,True,True,True,False,True,HOLD_ACTIVE_SPECIES_REVIEW
CHEMBL1201138,Leucovorin Calcium,Vykoura,2026,,135403647.0,CHEMBL1201138,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O,KVUAALJSMIVURS-ZEDZUCNESA-L,C20H21CaN7O7,511.5,data/processed/ligands_sdf_chembl/CHEMBL1201138.sdf,seed;ChEMBL API;PubChem PUG REST,"Intramuscular, Intravenous",Oncology,Osteosarcoma; Colorectal Neoplasms; Stomach Neoplasms,,,,Unknown,,ChEMBL API molfile,LEUCOVORIN CALCIUM,1952.0,4.0,smiles,ok,ok,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2],Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,O=c1nc[nH]c2c1NC(CNc1ccccc1)CN2,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,largest_RDKit_fragment_then_Uncharger,LEUCOVORIN CALCIUM,4.0,0.0,1.0,Small molecule,MOL,1952.0,0.0,0.0,0.0,0.0,CHEMBL1679,CHEMBL1679,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,leucovorin calcium,leucovorin,12,leucovorin calcium,1.0,True,True,False,True,EXACT_NAME_SUPPORTED,1,1,False,1,False,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,True,False,True,False,False,HOLD_ACTIVE_SPECIES_REVIEW
CHEMBL3981721,Linerixibat,Lynavoy,2026,,124604251.0,CHEMBL3981721,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,CZGVOBIGEBDYTP-NSOVKSMOSA-N,C28H38N2O7S,546.7,data/processed/ligands_sdf_chembl/CHEMBL3981721.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Other,,Ileal sodium/bile acid cotransporter,CHEMBL2778,INHIBITOR,Ileal bile acid transporter inhibitor,,ChEMBL API molfile,,,,smiles,ok,ok,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,O=S1(=O)CCNC(c2ccccc2)c2ccccc21,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,largest_RDKit_fragment_then_Uncharger,,,0.0,0.0,Small molecule,MOL,,-1.0,-1.0,0.0,0.0,CHEMBL3981721,CHEMBL3981721,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,linerixibat,linerixibat,0,,0.0,False,False,False,True,NO_CHEMBL_NAME_EVIDENCE,1,1,False,1,False,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,CCCC[C@@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@H](c2ccccc2)N1,False,False,True,False,True,HOLD_IDENTITY_REVIEW
CHEMBL2106068,Atrasentan Hydrochloride,Vanrafia,2025,,159595.0,CHEMBL2106068,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1.Cl,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,IJFUJIFSUKPWCZ-SQMFDTLJSA-N,C29H39ClN2O6,547.1,data/processed/ligands_sdf_chembl/CHEMBL2106068.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Oncology,"Prostatic Neoplasms, Castration-Resistant; Peritoneal Neoplasms; Fallopian Tube Neoplasms",Endothelin-1 receptor,CHEMBL252,ANTAGONIST,Endothelin receptor ET-A antagonist,,ChEMBL API molfile,ATRASENTAN HYDROCHLORIDE,,3.0,smiles,ok,ok,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1.Cl,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1.Cl,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,c1ccc(C2CC(c3ccc4c(c3)OCO4)CN2)cc1,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,largest_RDKit_fragment_then_Uncharger,ATRASENTAN HYDROCHLORIDE,3.0,0.0,0.0,Small molecule,MOL,,0.0,0.0,0.0,0.0,CHEMBL9194,CHEMBL9194,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,atrasentan hydrochloride,atrasentan,6,atrasentan hydrochloride,1.0,True,True,False,True,EXACT_NAME_SUPPORTED,1,1,False,1,False,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,True,False,True,False,True,HOLD_ACTIVE_SPECIES_REVIEW
CHEMBL3264004,Avutometinib Potassium,Avmapki Fakzynja Co-Pack (Copackaged),2025,,51030988.0,CHEMBL3264004,CNS(=O)(=O)[N-]c1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F.[K+],CNS(=O)(=O)[N-]c1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,KYKJFDDJHVJFIF-UHFFFAOYSA-N,C21H17FKN5O5S,509.6,data/processed/ligands_sdf_chembl/CHEMBL3264004.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Oncology,"Neoplasms; Carcinoma, Non-Small-Cell Lung",Dual specificity mitogen-activated protein kinase kinase 1,CHEMBL3587,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,,ChEMBL API molfile,AVUTOMETINIB POTASSIUM,,1.0,smiles,ok,ok,CNS(=O)(=O)[N-]c1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F.[K+],CNS(=O)(=O)[N-]c1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F.[K+],CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,O=c1oc2cc(Oc3ncccn3)ccc2cc1Cc1ccncc1,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,largest_RDKit_fragment_then_Uncharger,AVUTOMETINIB POTASSIUM,1.0,0.0,0.0,Small molecule,MOL,,0.0,0.0,0.0,0.0,CHEMBL3264002,CHEMBL3264002,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,avutometinib potassium,avutometinib,7,avutometinib potassium,1.0,True,True,False,True,EXACT_NAME_SUPPORTED,1,1,False,1,False,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,True,False,True,False,True,HOLD_ACTIVE_SPECIES_REVIEW
CHEMBL4297276,Diazoxide Choline,Vykat Xr,2025,,25014811.0,CHEMBL4297276,CC1=Nc2ccc(Cl)cc2S(=O)(=O)[N-]1.C[N+](C)(C)CCO,C[N+](C)(C)CCO,YLLWQNAEYILHLV-UHFFFAOYSA-N,C13H20ClN3O3S,333.84,data/processed/ligands_sdf_chembl/CHEMBL4297276.sdf,seed;ChEMBL API;PubChem PUG REST,Oral,Endocrinology/Metabolic,Hypertriglyceridemia; Prader-Willi Syndrome; Obesity,ATP-sensitive inward rectifier potassium channel 11,CHEMBL1886,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener",,ChEMBL API molfile,DIAZOXIDE CHOLINE,,2.0,smiles,ok,ok,CC1=Nc2ccc(Cl)cc2S(=O)(=O)[N-]1.C[N+](C)(C)CCO,CC1=Nc2ccc(Cl)cc2S(=O)(=O)[N-]1.C[N+](C)(C)CCO,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,O=S1(=O)NC=Nc2ccccc21,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,largest_RDKit_fragment_then_Uncharger,DIAZOXIDE CHOLINE,2.0,0.0,0.0,Small molecule,MOL,,0.0,0.0,0.0,0.0,CHEMBL181,CHEMBL181,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,diazoxide choline,diazoxide,1,diazoxide choline,1.0,True,True,False,True,EXACT_NAME_SUPPORTED,1,1,False,1,False,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,True,False,True,False,True,HOLD_ACTIVE_SPECIES_REVIEW
