query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
target_id,CHEMBL1782,biomaster,drugclip,719,-0.05673882920542437,0,0.0,0.13908205841446453
target_id,CHEMBL1782,biomaster,dtiam,719,-0.03241204671236645,0,0.0,0.13908205841446453
target_id,CHEMBL1782,biomaster,conplex,719,0.024215749328864226,0,0.0,0.13908205841446453
target_id,CHEMBL1782,biomaster,nesso,719,0.14476146845859109,0,0.0,0.13908205841446453
target_id,CHEMBL1782,biomaster,probematch,719,0.0541881197836156,0,0.0,0.13908205841446453
target_id,CHEMBL1782,biomaster,dtbind,719,0.1402867166441992,0,0.0,0.13908205841446453
target_id,CHEMBL1782,drugclip,dtiam,719,0.1433547765784797,1,1.0,0.13908205841446453
target_id,CHEMBL1782,drugclip,conplex,719,0.15261577070749885,2,2.0,0.13908205841446453
target_id,CHEMBL1782,drugclip,nesso,719,0.05883665025317594,0,0.0,0.13908205841446453
target_id,CHEMBL1782,drugclip,probematch,719,0.15692801696362063,1,1.0,0.13908205841446453
target_id,CHEMBL1782,drugclip,dtbind,719,0.22505767119511513,0,0.0,0.13908205841446453
target_id,CHEMBL1782,dtiam,conplex,719,-0.041616417750392806,0,0.0,0.13908205841446453
target_id,CHEMBL1782,dtiam,nesso,719,0.06216660245124582,0,0.0,0.13908205841446453
target_id,CHEMBL1782,dtiam,probematch,719,-0.06868575167220753,0,0.0,0.13908205841446453
target_id,CHEMBL1782,dtiam,dtbind,719,-0.12954657733430436,0,0.0,0.13908205841446453
target_id,CHEMBL1782,conplex,nesso,719,0.16913250144561484,0,0.0,0.13908205841446453
target_id,CHEMBL1782,conplex,probematch,719,0.1954226882792008,1,1.0,0.13908205841446453
target_id,CHEMBL1782,conplex,dtbind,719,0.25412532150174366,0,0.0,0.13908205841446453
target_id,CHEMBL1782,nesso,probematch,719,0.24633376078144187,1,1.0,0.13908205841446453
target_id,CHEMBL1782,nesso,dtbind,719,0.3169619085442772,0,0.0,0.13908205841446453
target_id,CHEMBL1782,probematch,dtbind,719,0.4570226491172095,3,3.0,0.13908205841446453
target_id,CHEMBL1829,biomaster,drugclip,719,0.020885811951242526,0,0.0,0.13908205841446453
target_id,CHEMBL1829,biomaster,dtiam,719,-0.06606921371793148,5,5.0,0.13908205841446453
target_id,CHEMBL1829,biomaster,conplex,719,-0.03262620144826344,1,1.0,0.13908205841446453
target_id,CHEMBL1829,biomaster,nesso,719,0.19660504827839154,4,4.0,0.13908205841446453
target_id,CHEMBL1829,biomaster,probematch,719,0.1413050791424694,0,0.0,0.13908205841446453
target_id,CHEMBL1829,biomaster,dtbind,719,0.12849563747052292,1,1.0,0.13908205841446453
target_id,CHEMBL1829,drugclip,dtiam,719,-0.015788268661394645,0,0.0,0.13908205841446453
target_id,CHEMBL1829,drugclip,conplex,719,-0.0262171785823388,0,0.0,0.13908205841446453
target_id,CHEMBL1829,drugclip,nesso,719,0.22505778943467084,0,0.0,0.13908205841446453
target_id,CHEMBL1829,drugclip,probematch,719,-0.10937928981627472,0,0.0,0.13908205841446453
target_id,CHEMBL1829,drugclip,dtbind,719,0.09478219976204008,1,1.0,0.13908205841446453
target_id,CHEMBL1829,dtiam,conplex,719,0.09115814894648176,0,0.0,0.13908205841446453
target_id,CHEMBL1829,dtiam,nesso,719,0.028306558998913947,4,4.0,0.13908205841446453
target_id,CHEMBL1829,dtiam,probematch,719,0.09526208192962274,1,1.0,0.13908205841446453
target_id,CHEMBL1829,dtiam,dtbind,719,-0.1844714715192926,1,1.0,0.13908205841446453
target_id,CHEMBL1829,conplex,nesso,719,0.03622261134208149,0,0.0,0.13908205841446453
target_id,CHEMBL1829,conplex,probematch,719,-0.09031502269421429,0,0.0,0.13908205841446453
target_id,CHEMBL1829,conplex,dtbind,719,-0.09277599126519864,0,0.0,0.13908205841446453
target_id,CHEMBL1829,nesso,probematch,719,-0.17192476267590281,0,0.0,0.13908205841446453
target_id,CHEMBL1829,nesso,dtbind,719,-0.029989150598095603,1,1.0,0.13908205841446453
target_id,CHEMBL1829,probematch,dtbind,719,0.24229871402197906,0,0.0,0.13908205841446453
