scope,model,n,positive,ap,auroc
COMMON_378,biomaster,378,103,0.7068635000676307,0.8575816416593115
COMMON_378,drugclip,378,103,0.41542543035994095,0.6199470432480141
COMMON_378,dtiam,378,103,0.7836626802897145,0.9211297440423654
COMMON_378,conplex,378,103,0.4659916534426308,0.6366107678729038
COMMON_378,nesso,378,103,0.7656144360951295,0.8944748455428068
COMMON_378,probematch,378,103,0.3170923519638643,0.6098323036187114
COMMON_378,dtbind,378,103,0.40126759748320984,0.6418358340688437
COMMON_378,dtiam_historical,378,103,0.4151679921571141,0.6371756398940863
COMMON_378,biomaster_reverse,378,103,0.7160850151068557,0.85306266548985
COMMON_378,nesso_pic50,378,103,0.7695620122206202,0.8498852603706972
AB_UNSEEN_COMMON,biomaster,141,33,0.656134713584775,0.8498877665544332
AB_UNSEEN_COMMON,drugclip,141,33,0.317025152536556,0.55331088664422
AB_UNSEEN_COMMON,dtiam,141,33,0.45242780120056275,0.7323232323232324
AB_UNSEEN_COMMON,conplex,141,33,0.41655024679573094,0.5984848484848484
AB_UNSEEN_COMMON,nesso,141,33,0.7725987829460681,0.894219977553311
AB_UNSEEN_COMMON,probematch,141,33,0.3337304770223676,0.6773288439955106
AB_UNSEEN_COMMON,dtbind,141,33,0.3914293689936234,0.5990460157126823
AB_UNSEEN_COMMON,dtiam_historical,141,33,0.4401866784880895,0.6593714927048261
AB_UNSEEN_COMMON,biomaster_reverse,141,33,0.6933245542386741,0.8554994388327721
AB_UNSEEN_COMMON,nesso_pic50,141,33,0.7585784752597581,0.8692480359147026
