query_id,positives,candidates,ap,mrr,recall_5,ndcg_5,recall_10,ndcg_10,recall_20,ndcg_20
26,2,384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,1,291,0.0038022813688212928,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0
52,1,383,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0
58,1,383,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
64,1,384,0.14285714285714285,0.14285714285714285,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
97,1,384,0.008928571428571428,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0
135,5,381,0.07865667420814479,0.07692307692307693,0.0,0.0,0.0,0.0,0.2,0.0890802702182344
147,4,312,0.8409090909090909,1.0,0.75,0.8318724637288826,0.75,0.8318724637288826,1.0,0.9407662247971147
152,3,384,0.2847222222222222,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.6666666666666666,0.40179981797758046,1.0,0.5166091127035983
177,1,311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,4,384,0.8041666666666667,1.0,1.0,0.9047172294870751,1.0,0.9047172294870751,1.0,0.9047172294870751
211,1,313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
247,1,307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,1,310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
270,2,381,0.5666666666666667,1.0,0.5,0.6131471927654584,0.5,0.6131471927654584,1.0,0.766433990956823
277,1,380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
278,1,384,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0
364,1,379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
372,1,379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
433,2,301,0.24358974358974358,0.3333333333333333,0.5,0.3065735963827292,0.5,0.3065735963827292,1.0,0.4676164214719373
462,1,382,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.23981246656813146
485,1,307,0.004291845493562232,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0
494,3,383,0.08216893795641424,0.058823529411764705,0.0,0.0,0.0,0.0,0.3333333333333333,0.1125388887954676
495,1,383,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
499,1,384,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
509,1,311,0.5,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575
515,2,383,0.8333333333333333,1.0,1.0,0.9197207891481876,1.0,0.9197207891481876,1.0,0.9197207891481876
564,1,374,0.006329113924050633,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0
612,1,381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
614,1,384,0.2,0.2,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.38685280723454163
622,1,312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
652,1,379,0.5,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.6309297535714575
680,1,376,0.007462686567164179,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0
686,2,383,0.01989247311827957,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
