drug_id,name,smiles,native_feature_index,gene_symbol,drug_to_target_logit,target_to_drug_logit,rank_720,evidence
VPPJLAIAVCUEMN-GFCCVEGCSA-N,lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,119827,SLC8A1,2.3591821,2.7184868,1,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
CEUORZQYGODEFX-UHFFFAOYSA-N,aripiprazole;aripiprazole lauroxil,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,290964,SLC8A1,-0.4690129,-0.40606254,2,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
GKCBAIGFKIBETG-UHFFFAOYSA-N,tetracaine,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,56907,SLC8A1,-0.63332766,-0.4413111,3,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
NSQSAUGJQHDYNO-UHFFFAOYSA-N,tazemetostat,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,64878,SLC8A1,-1.9115409,-1.9277916,4,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,156314,SLC8A1,-1.9330095,-1.9644624,5,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
WINHZLLDWRZWRT-ATVHPVEESA-N,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,63677,SLC8A1,-4.0888906,-2.0234065,6,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
XUKUURHRXDUEBC-KAYWLYCHSA-N,atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,37232,SLC8A1,-2.5644524,-2.257551,7,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
QCZAWDGAVJMPTA-RNFRBKRXSA-N,vorasidenib,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,166198,SLC8A1,-2.2950337,-2.3416376,8,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RYMZZMVNJRMUDD-HGQWONQESA-N,simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,50562,SLC8A1,-2.4788127,-2.4151068,9,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
RKEWSXXUOLRFBX-UHFFFAOYSA-N,pimavanserin,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,30983,SLC8A1,-2.3658829,-2.4534826,10,UNVALIDATED_COLD_TARGET_MODEL_HYPOTHESIS
