model,direction,query_id,observed_candidates,requested_candidates
DrugCLIP,target_to_drug,CHEMBL1795,720,720
DrugCLIP,target_to_drug,CHEMBL1795108,720,720
DrugCLIP,target_to_drug,CHEMBL1795116,720,720
DrugCLIP,target_to_drug,CHEMBL1795122,720,720
DrugCLIP,target_to_drug,CHEMBL1795178,720,720
DrugCLIP,target_to_drug,CHEMBL1795197,720,720
DrugCLIP,target_to_drug,CHEMBL1796,720,720
DrugCLIP,target_to_drug,CHEMBL1801,720,720
DrugCLIP,target_to_drug,CHEMBL1803,720,720
DrugCLIP,target_to_drug,CHEMBL1806,720,720
DrugCLIP,target_to_drug,CHEMBL1808,720,720
DrugCLIP,target_to_drug,CHEMBL1812,720,720
DrugCLIP,target_to_drug,CHEMBL1817,720,720
DrugCLIP,target_to_drug,CHEMBL1822,720,720
DrugCLIP,target_to_drug,CHEMBL1824,720,720
DrugCLIP,target_to_drug,CHEMBL1827,720,720
DrugCLIP,target_to_drug,CHEMBL1829,720,720
DrugCLIP,target_to_drug,CHEMBL1834,720,720
DrugCLIP,target_to_drug,CHEMBL1835,720,720
DrugCLIP,target_to_drug,CHEMBL1839,720,720
DrugCLIP,target_to_drug,CHEMBL1841,720,720
DrugCLIP,target_to_drug,CHEMBL1843,720,720
DrugCLIP,target_to_drug,CHEMBL1844,720,720
DrugCLIP,target_to_drug,CHEMBL1847,720,720
DrugCLIP,target_to_drug,CHEMBL1856,720,720
DrugCLIP,target_to_drug,CHEMBL1859,720,720
DrugCLIP,target_to_drug,CHEMBL1861,720,720
DrugCLIP,target_to_drug,CHEMBL1862,720,720
DrugCLIP,target_to_drug,CHEMBL1864,720,720
DrugCLIP,target_to_drug,CHEMBL1865,720,720
DrugCLIP,target_to_drug,CHEMBL1868,720,720
DrugCLIP,target_to_drug,CHEMBL1869,720,720
DrugCLIP,target_to_drug,CHEMBL1871,720,720
DrugCLIP,target_to_drug,CHEMBL1873,720,720
DrugCLIP,target_to_drug,CHEMBL1874,720,720
DrugCLIP,target_to_drug,CHEMBL1876,720,720
DrugCLIP,target_to_drug,CHEMBL1886,720,720
DrugCLIP,target_to_drug,CHEMBL1887,720,720
DrugCLIP,target_to_drug,CHEMBL1892,720,720
DrugCLIP,target_to_drug,CHEMBL1893,720,720
DrugCLIP,target_to_drug,CHEMBL1899,720,720
DrugCLIP,target_to_drug,CHEMBL1900,720,720
DrugCLIP,target_to_drug,CHEMBL1902,720,720
DrugCLIP,target_to_drug,CHEMBL1903,720,720
DrugCLIP,target_to_drug,CHEMBL1906,720,720
DrugCLIP,target_to_drug,CHEMBL1908,720,720
DrugCLIP,target_to_drug,CHEMBL1908389,720,720
DrugCLIP,target_to_drug,CHEMBL1909490,720,720
DrugCLIP,target_to_drug,CHEMBL1910,720,720
DrugCLIP,target_to_drug,CHEMBL1911,720,720
DrugCLIP,target_to_drug,CHEMBL1913,720,720
DrugCLIP,target_to_drug,CHEMBL1914,720,720
DrugCLIP,target_to_drug,CHEMBL1914276,720,720
DrugCLIP,target_to_drug,CHEMBL1918,720,720
DrugCLIP,target_to_drug,CHEMBL1919,720,720
DrugCLIP,target_to_drug,CHEMBL1927,720,720
DrugCLIP,target_to_drug,CHEMBL1929,720,720
DrugCLIP,target_to_drug,CHEMBL1930,720,720
DrugCLIP,target_to_drug,CHEMBL1935,720,720
DrugCLIP,target_to_drug,CHEMBL1936,720,720
DrugCLIP,target_to_drug,CHEMBL1937,720,720
DrugCLIP,target_to_drug,CHEMBL1938222,720,720
DrugCLIP,target_to_drug,CHEMBL1944,720,720
DrugCLIP,target_to_drug,CHEMBL1947,720,720
DrugCLIP,target_to_drug,CHEMBL1949,720,720
DrugCLIP,target_to_drug,CHEMBL1950,720,720
DrugCLIP,target_to_drug,CHEMBL1951,720,720
DrugCLIP,target_to_drug,CHEMBL1952,720,720
DrugCLIP,target_to_drug,CHEMBL1955,720,720
DrugCLIP,target_to_drug,CHEMBL1957,720,720
DrugCLIP,target_to_drug,CHEMBL1959,720,720
DrugCLIP,target_to_drug,CHEMBL1962,720,720
DrugCLIP,target_to_drug,CHEMBL1964,720,720
DrugCLIP,target_to_drug,CHEMBL1966,720,720
DrugCLIP,target_to_drug,CHEMBL1969,720,720
DrugCLIP,target_to_drug,CHEMBL1972,720,720
DrugCLIP,target_to_drug,CHEMBL1973,720,720
DrugCLIP,target_to_drug,CHEMBL1974,720,720
DrugCLIP,target_to_drug,CHEMBL1975,720,720
DrugCLIP,target_to_drug,CHEMBL1976,720,720
DrugCLIP,target_to_drug,CHEMBL1977,720,720
DrugCLIP,target_to_drug,CHEMBL1978,720,720
DrugCLIP,target_to_drug,CHEMBL1980,720,720
DrugCLIP,target_to_drug,CHEMBL1981,720,720
DrugCLIP,target_to_drug,CHEMBL1988,720,720
DrugCLIP,target_to_drug,CHEMBL1989,720,720
DrugCLIP,target_to_drug,CHEMBL1991,720,720
DrugCLIP,target_to_drug,CHEMBL1992,720,720
DrugCLIP,target_to_drug,CHEMBL1993,720,720
DrugCLIP,target_to_drug,CHEMBL1994,720,720
DrugCLIP,target_to_drug,CHEMBL1996,720,720
DrugCLIP,target_to_drug,CHEMBL1997,720,720
DrugCLIP,target_to_drug,CHEMBL1998,720,720
DrugCLIP,target_to_drug,CHEMBL2000,720,720
DrugCLIP,target_to_drug,CHEMBL2003,720,720
DrugCLIP,target_to_drug,CHEMBL2007,720,720
DrugCLIP,target_to_drug,CHEMBL2007625,720,720
DrugCLIP,target_to_drug,CHEMBL2008,720,720
DrugCLIP,target_to_drug,CHEMBL2009,720,720
DrugCLIP,target_to_drug,CHEMBL2010624,720,720
DrugCLIP,target_to_drug,CHEMBL2012,720,720
DrugCLIP,target_to_drug,CHEMBL2016,720,720
DrugCLIP,target_to_drug,CHEMBL202,720,720
DrugCLIP,target_to_drug,CHEMBL2023,720,720
DrugCLIP,target_to_drug,CHEMBL2027,720,720
DrugCLIP,target_to_drug,CHEMBL203,720,720
DrugCLIP,target_to_drug,CHEMBL2033,720,720
DrugCLIP,target_to_drug,CHEMBL2034,720,720
DrugCLIP,target_to_drug,CHEMBL2039,720,720
DrugCLIP,target_to_drug,CHEMBL204,720,720
DrugCLIP,target_to_drug,CHEMBL2041,720,720
DrugCLIP,target_to_drug,CHEMBL2044,720,720
DrugCLIP,target_to_drug,CHEMBL2045,720,720
DrugCLIP,target_to_drug,CHEMBL2046267,720,720
DrugCLIP,target_to_drug,CHEMBL2047,720,720
DrugCLIP,target_to_drug,CHEMBL2048,720,720
DrugCLIP,target_to_drug,CHEMBL205,720,720
DrugCLIP,target_to_drug,CHEMBL2055,720,720
DrugCLIP,target_to_drug,CHEMBL2058,720,720
DrugCLIP,target_to_drug,CHEMBL2059,720,720
DrugCLIP,target_to_drug,CHEMBL206,720,720
DrugCLIP,target_to_drug,CHEMBL2061,720,720
DrugCLIP,target_to_drug,CHEMBL2063,720,720
DrugCLIP,target_to_drug,CHEMBL2068,720,720
DrugCLIP,target_to_drug,CHEMBL2069156,720,720
DrugCLIP,target_to_drug,CHEMBL2072,720,720
DrugCLIP,target_to_drug,CHEMBL2073,720,720
DrugCLIP,target_to_drug,CHEMBL2073677,720,720
DrugCLIP,target_to_drug,CHEMBL2074,720,720
DrugCLIP,target_to_drug,CHEMBL208,720,720
DrugCLIP,target_to_drug,CHEMBL2084,720,720
DrugCLIP,target_to_drug,CHEMBL2085,720,720
DrugCLIP,target_to_drug,CHEMBL2099,720,720
DrugCLIP,target_to_drug,CHEMBL2118,720,720
DrugCLIP,target_to_drug,CHEMBL2120,720,720
DrugCLIP,target_to_drug,CHEMBL2121,720,720
DrugCLIP,target_to_drug,CHEMBL2146302,720,720
DrugCLIP,target_to_drug,CHEMBL2146346,720,720
DrugCLIP,target_to_drug,CHEMBL2148,720,720
DrugCLIP,target_to_drug,CHEMBL215,720,720
DrugCLIP,target_to_drug,CHEMBL2176771,720,720
DrugCLIP,target_to_drug,CHEMBL2176839,720,720
DrugCLIP,target_to_drug,CHEMBL2176846,720,720
DrugCLIP,target_to_drug,CHEMBL2176855,720,720
DrugCLIP,target_to_drug,CHEMBL2179,720,720
DrugCLIP,target_to_drug,CHEMBL2185,720,720
DrugCLIP,target_to_drug,CHEMBL2189110,720,720
DrugCLIP,target_to_drug,CHEMBL2189121,720,720
DrugCLIP,target_to_drug,CHEMBL220,720,720
DrugCLIP,target_to_drug,CHEMBL2208,720,720
DrugCLIP,target_to_drug,CHEMBL221,720,720
DrugCLIP,target_to_drug,CHEMBL2216739,720,720
DrugCLIP,target_to_drug,CHEMBL222,720,720
DrugCLIP,target_to_drug,CHEMBL2243,720,720
DrugCLIP,target_to_drug,CHEMBL2252,720,720
DrugCLIP,target_to_drug,CHEMBL2273,720,720
DrugCLIP,target_to_drug,CHEMBL2276,720,720
DrugCLIP,target_to_drug,CHEMBL228,720,720
DrugCLIP,target_to_drug,CHEMBL2285,720,720
DrugCLIP,target_to_drug,CHEMBL2292,720,720
DrugCLIP,target_to_drug,CHEMBL230,720,720
DrugCLIP,target_to_drug,CHEMBL2311236,720,720
DrugCLIP,target_to_drug,CHEMBL2321613,720,720
DrugCLIP,target_to_drug,CHEMBL2321614,720,720
DrugCLIP,target_to_drug,CHEMBL2321615,720,720
DrugCLIP,target_to_drug,CHEMBL2326,720,720
DrugCLIP,target_to_drug,CHEMBL2331041,720,720
DrugCLIP,target_to_drug,CHEMBL2331042,720,720
DrugCLIP,target_to_drug,CHEMBL2331059,720,720
DrugCLIP,target_to_drug,CHEMBL2331065,720,720
DrugCLIP,target_to_drug,CHEMBL2337,720,720
DrugCLIP,target_to_drug,CHEMBL2346492,720,720
DrugCLIP,target_to_drug,CHEMBL235,720,720
DrugCLIP,target_to_drug,CHEMBL2362986,720,720
DrugCLIP,target_to_drug,CHEMBL2362990,720,720
DrugCLIP,target_to_drug,CHEMBL2362992,720,720
DrugCLIP,target_to_drug,CHEMBL2364155,720,720
DrugCLIP,target_to_drug,CHEMBL2364156,720,720
DrugCLIP,target_to_drug,CHEMBL2364158,720,720
DrugCLIP,target_to_drug,CHEMBL2364161,720,720
DrugCLIP,target_to_drug,CHEMBL2364162,720,720
DrugCLIP,target_to_drug,CHEMBL2364163,720,720
DrugCLIP,target_to_drug,CHEMBL238,720,720
DrugCLIP,target_to_drug,CHEMBL2384897,720,720
DrugCLIP,target_to_drug,CHEMBL239,720,720
DrugCLIP,target_to_drug,CHEMBL240,720,720
DrugCLIP,target_to_drug,CHEMBL2409,720,720
DrugCLIP,target_to_drug,CHEMBL241,720,720
DrugCLIP,target_to_drug,CHEMBL242,720,720
DrugCLIP,target_to_drug,CHEMBL2431,720,720
DrugCLIP,target_to_drug,CHEMBL2435,720,720
DrugCLIP,target_to_drug,CHEMBL2439,720,720
DrugCLIP,target_to_drug,CHEMBL244,720,720
DrugCLIP,target_to_drug,CHEMBL2476,720,720
DrugCLIP,target_to_drug,CHEMBL248,720,720
DrugCLIP,target_to_drug,CHEMBL2487,720,720
DrugCLIP,target_to_drug,CHEMBL2492,720,720
DrugCLIP,target_to_drug,CHEMBL2508,720,720
DrugCLIP,target_to_drug,CHEMBL2524,720,720
DrugCLIP,target_to_drug,CHEMBL2527,720,720
DrugCLIP,target_to_drug,CHEMBL2534,720,720
DrugCLIP,target_to_drug,CHEMBL258,720,720
DrugCLIP,target_to_drug,CHEMBL2599,720,720
DrugCLIP,target_to_drug,CHEMBL260,720,720
DrugCLIP,target_to_drug,CHEMBL2608,720,720
DrugCLIP,target_to_drug,CHEMBL261,720,720
DrugCLIP,target_to_drug,CHEMBL262,720,720
DrugCLIP,target_to_drug,CHEMBL2633,720,720
DrugCLIP,target_to_drug,CHEMBL2637,720,720
DrugCLIP,target_to_drug,CHEMBL267,720,720
DrugCLIP,target_to_drug,CHEMBL268,720,720
DrugCLIP,target_to_drug,CHEMBL2689,720,720
DrugCLIP,target_to_drug,CHEMBL2695,720,720
DrugCLIP,target_to_drug,CHEMBL2706,720,720
DrugCLIP,target_to_drug,CHEMBL2708,720,720
DrugCLIP,target_to_drug,CHEMBL2722,720,720
DrugCLIP,target_to_drug,CHEMBL2742,720,720
DrugCLIP,target_to_drug,CHEMBL2754,720,720
DrugCLIP,target_to_drug,CHEMBL2755,720,720
DrugCLIP,target_to_drug,CHEMBL2778,720,720
DrugCLIP,target_to_drug,CHEMBL278,720,720
DrugCLIP,target_to_drug,CHEMBL2782,720,720
DrugCLIP,target_to_drug,CHEMBL279,720,720
DrugCLIP,target_to_drug,CHEMBL280,720,720
DrugCLIP,target_to_drug,CHEMBL2808,720,720
DrugCLIP,target_to_drug,CHEMBL2815,720,720
DrugCLIP,target_to_drug,CHEMBL2820,720,720
DrugCLIP,target_to_drug,CHEMBL2821,720,720
DrugCLIP,target_to_drug,CHEMBL283,720,720
DrugCLIP,target_to_drug,CHEMBL2835,720,720
DrugCLIP,target_to_drug,CHEMBL284,720,720
DrugCLIP,target_to_drug,CHEMBL2842,720,720
DrugCLIP,target_to_drug,CHEMBL2850,720,720
DrugCLIP,target_to_drug,CHEMBL286,720,720
DrugCLIP,target_to_drug,CHEMBL287,720,720
DrugCLIP,target_to_drug,CHEMBL2872,720,720
DrugCLIP,target_to_drug,CHEMBL2873,720,720
DrugCLIP,target_to_drug,CHEMBL288,720,720
DrugCLIP,target_to_drug,CHEMBL2916,720,720
DrugCLIP,target_to_drug,CHEMBL2925,720,720
DrugCLIP,target_to_drug,CHEMBL2929,720,720
DrugCLIP,target_to_drug,CHEMBL2940,720,720
DrugCLIP,target_to_drug,CHEMBL2954,720,720
DrugCLIP,target_to_drug,CHEMBL2959,720,720
DrugCLIP,target_to_drug,CHEMBL2964,720,720
DrugCLIP,target_to_drug,CHEMBL2971,720,720
DrugCLIP,target_to_drug,CHEMBL2973,720,720
DrugCLIP,target_to_drug,CHEMBL2979,720,720
DrugCLIP,target_to_drug,CHEMBL2996,720,720
DrugCLIP,target_to_drug,CHEMBL2998,720,720
DrugCLIP,target_to_drug,CHEMBL3004,720,720
DrugCLIP,target_to_drug,CHEMBL3009,720,720
DrugCLIP,target_to_drug,CHEMBL301,720,720
DrugCLIP,target_to_drug,CHEMBL3023,720,720
DrugCLIP,target_to_drug,CHEMBL3024,720,720
DrugCLIP,target_to_drug,CHEMBL3026,720,720
DrugCLIP,target_to_drug,CHEMBL3028,720,720
DrugCLIP,target_to_drug,CHEMBL3045,720,720
DrugCLIP,target_to_drug,CHEMBL3055,720,720
DrugCLIP,target_to_drug,CHEMBL3076,720,720
DrugCLIP,target_to_drug,CHEMBL308,720,720
DrugCLIP,target_to_drug,CHEMBL3094,720,720
DrugCLIP,target_to_drug,CHEMBL3102,720,720
DrugCLIP,target_to_drug,CHEMBL3105,720,720
DrugCLIP,target_to_drug,CHEMBL3106,720,720
DrugCLIP,target_to_drug,CHEMBL3107,720,720
DrugCLIP,target_to_drug,CHEMBL3108633,720,720
DrugCLIP,target_to_drug,CHEMBL3116,720,720
DrugCLIP,target_to_drug,CHEMBL3117,720,720
DrugCLIP,target_to_drug,CHEMBL3119,720,720
DrugCLIP,target_to_drug,CHEMBL3130,720,720
DrugCLIP,target_to_drug,CHEMBL3142,720,720
DrugCLIP,target_to_drug,CHEMBL3143,720,720
DrugCLIP,target_to_drug,CHEMBL3145,720,720
DrugCLIP,target_to_drug,CHEMBL3161,720,720
DrugCLIP,target_to_drug,CHEMBL3172,720,720
DrugCLIP,target_to_drug,CHEMBL3192,720,720
DrugCLIP,target_to_drug,CHEMBL3201,720,720
DrugCLIP,target_to_drug,CHEMBL321,720,720
DrugCLIP,target_to_drug,CHEMBL3217393,720,720
DrugCLIP,target_to_drug,CHEMBL3217394,720,720
DrugCLIP,target_to_drug,CHEMBL3217395,720,720
DrugCLIP,target_to_drug,CHEMBL3218,720,720
DrugCLIP,target_to_drug,CHEMBL3232692,720,720
DrugCLIP,target_to_drug,CHEMBL3234,720,720
DrugCLIP,target_to_drug,CHEMBL3238,720,720
DrugCLIP,target_to_drug,CHEMBL3242,720,720
DrugCLIP,target_to_drug,CHEMBL3243,720,720
DrugCLIP,target_to_drug,CHEMBL325,720,720
DrugCLIP,target_to_drug,CHEMBL3267,720,720
DrugCLIP,target_to_drug,CHEMBL3273,720,720
DrugCLIP,target_to_drug,CHEMBL3276,720,720
DrugCLIP,target_to_drug,CHEMBL3286,720,720
DrugCLIP,target_to_drug,CHEMBL3286067,720,720
DrugCLIP,target_to_drug,CHEMBL3286070,720,720
DrugCLIP,target_to_drug,CHEMBL3286073,720,720
DrugCLIP,target_to_drug,CHEMBL3295,720,720
DrugCLIP,target_to_drug,CHEMBL3307223,720,720
DrugCLIP,target_to_drug,CHEMBL3308912,720,720
DrugCLIP,target_to_drug,CHEMBL331,720,720
DrugCLIP,target_to_drug,CHEMBL3310,720,720
DrugCLIP,target_to_drug,CHEMBL332,720,720
DrugCLIP,target_to_drug,CHEMBL333,720,720
DrugCLIP,target_to_drug,CHEMBL3338,720,720
DrugCLIP,target_to_drug,CHEMBL3357,720,720
DrugCLIP,target_to_drug,CHEMBL3378,720,720
DrugCLIP,target_to_drug,CHEMBL3385,720,720
DrugCLIP,target_to_drug,CHEMBL3390821,720,720
DrugCLIP,target_to_drug,CHEMBL3391681,720,720
DrugCLIP,target_to_drug,CHEMBL340,720,720
DrugCLIP,target_to_drug,CHEMBL3407319,720,720
DrugCLIP,target_to_drug,CHEMBL3407320,720,720
DrugCLIP,target_to_drug,CHEMBL3407325,720,720
DrugCLIP,target_to_drug,CHEMBL3425389,720,720
DrugCLIP,target_to_drug,CHEMBL3430865,720,720
DrugCLIP,target_to_drug,CHEMBL3437,720,720
DrugCLIP,target_to_drug,CHEMBL3439,720,720
DrugCLIP,target_to_drug,CHEMBL3474,720,720
DrugCLIP,target_to_drug,CHEMBL3475,720,720
DrugCLIP,target_to_drug,CHEMBL3514,720,720
DrugCLIP,target_to_drug,CHEMBL3522,720,720
DrugCLIP,target_to_drug,CHEMBL3535,720,720
DrugCLIP,target_to_drug,CHEMBL3551,720,720
DrugCLIP,target_to_drug,CHEMBL3553,720,720
DrugCLIP,target_to_drug,CHEMBL3559,720,720
DrugCLIP,target_to_drug,CHEMBL3559386,720,720
DrugCLIP,target_to_drug,CHEMBL3572,720,720
DrugCLIP,target_to_drug,CHEMBL3576,720,720
DrugCLIP,target_to_drug,CHEMBL3580483,720,720
DrugCLIP,target_to_drug,CHEMBL3580485,720,720
DrugCLIP,target_to_drug,CHEMBL3580488,720,720
DrugCLIP,target_to_drug,CHEMBL3580489,720,720
DrugCLIP,target_to_drug,CHEMBL3580490,720,720
DrugCLIP,target_to_drug,CHEMBL3580491,720,720
DrugCLIP,target_to_drug,CHEMBL3580492,720,720
DrugCLIP,target_to_drug,CHEMBL3580493,720,720
DrugCLIP,target_to_drug,CHEMBL3580494,720,720
DrugCLIP,target_to_drug,CHEMBL3580496,720,720
DrugCLIP,target_to_drug,CHEMBL3582,720,720
DrugCLIP,target_to_drug,CHEMBL3587,720,720
DrugCLIP,target_to_drug,CHEMBL3588735,720,720
DrugCLIP,target_to_drug,CHEMBL3594,720,720
DrugCLIP,target_to_drug,CHEMBL3596085,720,720
DrugCLIP,target_to_drug,CHEMBL3610,720,720
DrugCLIP,target_to_drug,CHEMBL3618,720,720
DrugCLIP,target_to_drug,CHEMBL3623,720,720
DrugCLIP,target_to_drug,CHEMBL3629,720,720
DrugCLIP,target_to_drug,CHEMBL3631,720,720
DrugCLIP,target_to_drug,CHEMBL3632452,720,720
DrugCLIP,target_to_drug,CHEMBL3650,720,720
DrugCLIP,target_to_drug,CHEMBL3660,720,720
DrugCLIP,target_to_drug,CHEMBL3670,720,720
DrugCLIP,target_to_drug,CHEMBL3687,720,720
DrugCLIP,target_to_drug,CHEMBL3691,720,720
DrugCLIP,target_to_drug,CHEMBL3706,720,720
DrugCLIP,target_to_drug,CHEMBL3710485,720,720
DrugCLIP,target_to_drug,CHEMBL3712852,720,720
DrugCLIP,target_to_drug,CHEMBL3712853,720,720
DrugCLIP,target_to_drug,CHEMBL3712856,720,720
DrugCLIP,target_to_drug,CHEMBL3712859,720,720
DrugCLIP,target_to_drug,CHEMBL3712860,720,720
DrugCLIP,target_to_drug,CHEMBL3712863,720,720
DrugCLIP,target_to_drug,CHEMBL3712864,720,720
DrugCLIP,target_to_drug,CHEMBL3712869,720,720
DrugCLIP,target_to_drug,CHEMBL3712878,720,720
DrugCLIP,target_to_drug,CHEMBL3712880,720,720
DrugCLIP,target_to_drug,CHEMBL3712881,720,720
DrugCLIP,target_to_drug,CHEMBL3712885,720,720
DrugCLIP,target_to_drug,CHEMBL3712886,720,720
DrugCLIP,target_to_drug,CHEMBL3712888,720,720
DrugCLIP,target_to_drug,CHEMBL3712900,720,720
DrugCLIP,target_to_drug,CHEMBL3712901,720,720
DrugCLIP,target_to_drug,CHEMBL3712903,720,720
DrugCLIP,target_to_drug,CHEMBL3712912,720,720
DrugCLIP,target_to_drug,CHEMBL3712913,720,720
DrugCLIP,target_to_drug,CHEMBL3712915,720,720
DrugCLIP,target_to_drug,CHEMBL3712916,720,720
DrugCLIP,target_to_drug,CHEMBL3712919,720,720
DrugCLIP,target_to_drug,CHEMBL3712920,720,720
DrugCLIP,target_to_drug,CHEMBL3712931,720,720
DrugCLIP,target_to_drug,CHEMBL3712932,720,720
DrugCLIP,target_to_drug,CHEMBL3712934,720,720
DrugCLIP,target_to_drug,CHEMBL3712938,720,720
DrugCLIP,target_to_drug,CHEMBL3712949,720,720
DrugCLIP,target_to_drug,CHEMBL3712953,720,720
DrugCLIP,target_to_drug,CHEMBL3712955,720,720
DrugCLIP,target_to_drug,CHEMBL3712956,720,720
DrugCLIP,target_to_drug,CHEMBL3712957,720,720
DrugCLIP,target_to_drug,CHEMBL3712961,720,720
DrugCLIP,target_to_drug,CHEMBL3712965,720,720
DrugCLIP,target_to_drug,CHEMBL3712972,720,720
DrugCLIP,target_to_drug,CHEMBL3712975,720,720
DrugCLIP,target_to_drug,CHEMBL3712987,720,720
DrugCLIP,target_to_drug,CHEMBL3712988,720,720
DrugCLIP,target_to_drug,CHEMBL3712995,720,720
DrugCLIP,target_to_drug,CHEMBL3712996,720,720
DrugCLIP,target_to_drug,CHEMBL3713000,720,720
DrugCLIP,target_to_drug,CHEMBL3713007,720,720
DrugCLIP,target_to_drug,CHEMBL3713014,720,720
DrugCLIP,target_to_drug,CHEMBL3713025,720,720
DrugCLIP,target_to_drug,CHEMBL3713026,720,720
DrugCLIP,target_to_drug,CHEMBL3713062,720,720
DrugCLIP,target_to_drug,CHEMBL3713333,720,720
DrugCLIP,target_to_drug,CHEMBL3713343,720,720
DrugCLIP,target_to_drug,CHEMBL3713436,720,720
DrugCLIP,target_to_drug,CHEMBL3713449,720,720
DrugCLIP,target_to_drug,CHEMBL3713453,720,720
DrugCLIP,target_to_drug,CHEMBL3713913,720,720
DrugCLIP,target_to_drug,CHEMBL3713941,720,720
DrugCLIP,target_to_drug,CHEMBL3714029,720,720
DrugCLIP,target_to_drug,CHEMBL3714157,720,720
DrugCLIP,target_to_drug,CHEMBL3714583,720,720
DrugCLIP,target_to_drug,CHEMBL3717,720,720
DrugCLIP,target_to_drug,CHEMBL3720,720,720
DrugCLIP,target_to_drug,CHEMBL3729,720,720
DrugCLIP,target_to_drug,CHEMBL3776,720,720
DrugCLIP,target_to_drug,CHEMBL3778,720,720
DrugCLIP,target_to_drug,CHEMBL3788,720,720
DrugCLIP,target_to_drug,CHEMBL3810,720,720
DrugCLIP,target_to_drug,CHEMBL3816,720,720
DrugCLIP,target_to_drug,CHEMBL3820,720,720
DrugCLIP,target_to_drug,CHEMBL3831181,720,720
DrugCLIP,target_to_drug,CHEMBL3831182,720,720
DrugCLIP,target_to_drug,CHEMBL3831291,720,720
DrugCLIP,target_to_drug,CHEMBL3833441,720,720
DrugCLIP,target_to_drug,CHEMBL3833481,720,720
DrugCLIP,target_to_drug,CHEMBL3856162,720,720
DrugCLIP,target_to_drug,CHEMBL3856163,720,720
DrugCLIP,target_to_drug,CHEMBL3864,720,720
DrugCLIP,target_to_drug,CHEMBL3869,720,720
DrugCLIP,target_to_drug,CHEMBL3884,720,720
DrugCLIP,target_to_drug,CHEMBL3890,720,720
DrugCLIP,target_to_drug,CHEMBL3896,720,720
DrugCLIP,target_to_drug,CHEMBL3901,720,720
DrugCLIP,target_to_drug,CHEMBL3902,720,720
DrugCLIP,target_to_drug,CHEMBL3905,720,720
DrugCLIP,target_to_drug,CHEMBL3913,720,720
DrugCLIP,target_to_drug,CHEMBL3921,720,720
DrugCLIP,target_to_drug,CHEMBL3922,720,720
DrugCLIP,target_to_drug,CHEMBL3923,720,720
DrugCLIP,target_to_drug,CHEMBL3935,720,720
DrugCLIP,target_to_drug,CHEMBL3955,720,720
DrugCLIP,target_to_drug,CHEMBL3956,720,720
DrugCLIP,target_to_drug,CHEMBL3961,720,720
DrugCLIP,target_to_drug,CHEMBL3972,720,720
DrugCLIP,target_to_drug,CHEMBL3973,720,720
DrugCLIP,target_to_drug,CHEMBL3979,720,720
DrugCLIP,target_to_drug,CHEMBL3983,720,720
DrugCLIP,target_to_drug,CHEMBL3988505,720,720
DrugCLIP,target_to_drug,CHEMBL3989382,720,720
DrugCLIP,target_to_drug,CHEMBL3989384,720,720
DrugCLIP,target_to_drug,CHEMBL3991,720,720
DrugCLIP,target_to_drug,CHEMBL3991501,720,720
DrugCLIP,target_to_drug,CHEMBL4005,720,720
DrugCLIP,target_to_drug,CHEMBL4016,720,720
DrugCLIP,target_to_drug,CHEMBL402,720,720
DrugCLIP,target_to_drug,CHEMBL4036,720,720
DrugCLIP,target_to_drug,CHEMBL4040,720,720
DrugCLIP,target_to_drug,CHEMBL4051,720,720
DrugCLIP,target_to_drug,CHEMBL4068,720,720
DrugCLIP,target_to_drug,CHEMBL4073,720,720
DrugCLIP,target_to_drug,CHEMBL4081,720,720
DrugCLIP,target_to_drug,CHEMBL4093,720,720
DrugCLIP,target_to_drug,CHEMBL4096,720,720
DrugCLIP,target_to_drug,CHEMBL4116,720,720
DrugCLIP,target_to_drug,CHEMBL4128,720,720
DrugCLIP,target_to_drug,CHEMBL4142,720,720
DrugCLIP,target_to_drug,CHEMBL4163,720,720
DrugCLIP,target_to_drug,CHEMBL4179,720,720
DrugCLIP,target_to_drug,CHEMBL4187,720,720
DrugCLIP,target_to_drug,CHEMBL4191,720,720
DrugCLIP,target_to_drug,CHEMBL4223,720,720
DrugCLIP,target_to_drug,CHEMBL4225,720,720
DrugCLIP,target_to_drug,CHEMBL4235,720,720
DrugCLIP,target_to_drug,CHEMBL4245,720,720
DrugCLIP,target_to_drug,CHEMBL4247,720,720
DrugCLIP,target_to_drug,CHEMBL4266,720,720
DrugCLIP,target_to_drug,CHEMBL4282,720,720
DrugCLIP,target_to_drug,CHEMBL4295646,720,720
DrugCLIP,target_to_drug,CHEMBL4295685,720,720
DrugCLIP,target_to_drug,CHEMBL4295690,720,720
DrugCLIP,target_to_drug,CHEMBL4296,720,720
DrugCLIP,target_to_drug,CHEMBL4296022,720,720
DrugCLIP,target_to_drug,CHEMBL4302,720,720
DrugCLIP,target_to_drug,CHEMBL4303061,720,720
DrugCLIP,target_to_drug,CHEMBL4304,720,720
DrugCLIP,target_to_drug,CHEMBL4305,720,720
DrugCLIP,target_to_drug,CHEMBL4306,720,720
DrugCLIP,target_to_drug,CHEMBL4323,720,720
DrugCLIP,target_to_drug,CHEMBL4331,720,720
DrugCLIP,target_to_drug,CHEMBL4338,720,720
DrugCLIP,target_to_drug,CHEMBL4342,720,720
DrugCLIP,target_to_drug,CHEMBL4361,720,720
DrugCLIP,target_to_drug,CHEMBL4393,720,720
DrugCLIP,target_to_drug,CHEMBL4409,720,720
